"MTU (CET)","Day-ahead Price [EUR/MWh]","BZN|NL"
"10.01.2020 15:00 - 10.01.2020 16:00","37.73"
"10.01.2020 16:00 - 10.01.2020 17:00","42.69"
"10.01.2020 17:00 - 10.01.2020 18:00","48.94"
"10.01.2020 18:00 - 10.01.2020 19:00","52.00"
"10.01.2020 19:00 - 10.01.2020 20:00","47.68"
"10.01.2020 20:00 - 10.01.2020 21:00","45.03"
"10.01.2020 21:00 - 10.01.2020 22:00","41.29"
"10.01.2020 22:00 - 10.01.2020 23:00","39.90"
"10.01.2020 23:00 - 11.01.2020 00:00","33.04"
"11.01.2020 00:00 - 11.01.2020 01:00","35.01"
"11.01.2020 01:00 - 11.01.2020 02:00","34.00"
"11.01.2020 02:00 - 11.01.2020 03:00","31.43"
"11.01.2020 03:00 - 11.01.2020 04:00","29.14"
"11.01.2020 04:00 - 11.01.2020 05:00","28.84"
"11.01.2020 05:00 - 11.01.2020 06:00","28.43"
"11.01.2020 06:00 - 11.01.2020 07:00","28.85"
"11.01.2020 07:00 - 11.01.2020 08:00","30.29"
"11.01.2020 08:00 - 11.01.2020 09:00","35.68"
"11.01.2020 09:00 - 11.01.2020 10:00","40.00"
"11.01.2020 10:00 - 11.01.2020 11:00","37.97"
"11.01.2020 11:00 - 11.01.2020 12:00","37.90"
"11.01.2020 12:00 - 11.01.2020 13:00","34.70"
"11.01.2020 13:00 - 11.01.2020 14:00","32.98"
"11.01.2020 14:00 - 11.01.2020 15:00","31.45"
"11.01.2020 15:00 - 11.01.2020 16:00","32.25"
"11.01.2020 16:00 - 11.01.2020 17:00","32.55"
"11.01.2020 17:00 - 11.01.2020 18:00","40.62"
"11.01.2020 18:00 - 11.01.2020 19:00","44.50"
"11.01.2020 19:00 - 11.01.2020 20:00","33.76"
"11.01.2020 20:00 - 11.01.2020 21:00","32.00"
"11.01.2020 21:00 - 11.01.2020 22:00","28.39"
"11.01.2020 22:00 - 11.01.2020 23:00","29.90"
"11.01.2020 23:00 - 12.01.2020 00:00","26.50"
"12.01.2020 00:00 - 12.01.2020 01:00","25.26"
"12.01.2020 01:00 - 12.01.2020 02:00","23.79"
"12.01.2020 02:00 - 12.01.2020 03:00","25.10"
"12.01.2020 03:00 - 12.01.2020 04:00","23.75"
"12.01.2020 04:00 - 12.01.2020 05:00","23.31"
"12.01.2020 05:00 - 12.01.2020 06:00","23.58"
"12.01.2020 06:00 - 12.01.2020 07:00","24.90"
"12.01.2020 07:00 - 12.01.2020 08:00","29.60"
"12.01.2020 08:00 - 12.01.2020 09:00","28.60"
"12.01.2020 09:00 - 12.01.2020 10:00","28.60"
"12.01.2020 10:00 - 12.01.2020 11:00","28.60"
"12.01.2020 11:00 - 12.01.2020 12:00","30.90"
"12.01.2020 12:00 - 12.01.2020 13:00","30.90"
"12.01.2020 13:00 - 12.01.2020 14:00","29.50"
"12.01.2020 14:00 - 12.01.2020 15:00","30.90"
"12.01.2020 15:00 - 12.01.2020 16:00","29.90"
"12.01.2020 16:00 - 12.01.2020 17:00","30.23"
"12.01.2020 17:00 - 12.01.2020 18:00","35.22"
"12.01.2020 18:00 - 12.01.2020 19:00","46.87"
"12.01.2020 19:00 - 12.01.2020 20:00","46.47"
"12.01.2020 20:00 - 12.01.2020 21:00","46.51"
"12.01.2020 21:00 - 12.01.2020 22:00","32.07"
"12.01.2020 22:00 - 12.01.2020 23:00","38.10"
"12.01.2020 23:00 - 13.01.2020 00:00","29.90"
"13.01.2020 00:00 - 13.01.2020 01:00","29.13"
"13.01.2020 01:00 - 13.01.2020 02:00","26.80"
"13.01.2020 02:00 - 13.01.2020 03:00","25.47"
"13.01.2020 03:00 - 13.01.2020 04:00","24.95"
"13.01.2020 04:00 - 13.01.2020 05:00","25.12"
"13.01.2020 05:00 - 13.01.2020 06:00","27.32"
"13.01.2020 06:00 - 13.01.2020 07:00","37.87"
"13.01.2020 07:00 - 13.01.2020 08:00","48.64"
"13.01.2020 08:00 - 13.01.2020 09:00","52.93"
"13.01.2020 09:00 - 13.01.2020 10:00","49.89"
"13.01.2020 10:00 - 13.01.2020 11:00","48.89"
"13.01.2020 11:00 - 13.01.2020 12:00","47.20"
"13.01.2020 12:00 - 13.01.2020 13:00","47.00"
"13.01.2020 13:00 - 13.01.2020 14:00","45.95"
"13.01.2020 14:00 - 13.01.2020 15:00","45.00"
"13.01.2020 15:00 - 13.01.2020 16:00","45.35"
"13.01.2020 16:00 - 13.01.2020 17:00","43.53"
"13.01.2020 17:00 - 13.01.2020 18:00","46.81"
"13.01.2020 18:00 - 13.01.2020 19:00","45.27"
"13.01.2020 19:00 - 13.01.2020 20:00","41.78"
"13.01.2020 20:00 - 13.01.2020 21:00","31.90"
"13.01.2020 21:00 - 13.01.2020 22:00","26.97"
"13.01.2020 22:00 - 13.01.2020 23:00","26.37"
"13.01.2020 23:00 - 14.01.2020 00:00","23.98"
"14.01.2020 00:00 - 14.01.2020 01:00","23.10"
"14.01.2020 01:00 - 14.01.2020 02:00","19.67"
"14.01.2020 02:00 - 14.01.2020 03:00","14.61"
"14.01.2020 03:00 - 14.01.2020 04:00","8.93"
"14.01.2020 04:00 - 14.01.2020 05:00","8.24"
"14.01.2020 05:00 - 14.01.2020 06:00","17.29"
"14.01.2020 06:00 - 14.01.2020 07:00","27.40"
"14.01.2020 07:00 - 14.01.2020 08:00","31.74"
"14.01.2020 08:00 - 14.01.2020 09:00","35.91"
"14.01.2020 09:00 - 14.01.2020 10:00","39.57"
"14.01.2020 10:00 - 14.01.2020 11:00","39.85"
"14.01.2020 11:00 - 14.01.2020 12:00","39.87"
"14.01.2020 12:00 - 14.01.2020 13:00","35.00"
"14.01.2020 13:00 - 14.01.2020 14:00","30.00"
"14.01.2020 14:00 - 14.01.2020 15:00","34.49"
"14.01.2020 15:00 - 14.01.2020 16:00","32.99"
"14.01.2020 16:00 - 14.01.2020 17:00","32.38"
"14.01.2020 17:00 - 14.01.2020 18:00","38.00"
"14.01.2020 18:00 - 14.01.2020 19:00","35.10"
"14.01.2020 19:00 - 14.01.2020 20:00","30.10"
"14.01.2020 20:00 - 14.01.2020 21:00","30.00"
"14.01.2020 21:00 - 14.01.2020 22:00","31.16"
"14.01.2020 22:00 - 14.01.2020 23:00","29.16"
"14.01.2020 23:00 - 15.01.2020 00:00","27.50"
"15.01.2020 00:00 - 15.01.2020 01:00","25.18"
"15.01.2020 01:00 - 15.01.2020 02:00","23.00"
"15.01.2020 02:00 - 15.01.2020 03:00","21.66"
"15.01.2020 03:00 - 15.01.2020 04:00","21.19"
"15.01.2020 04:00 - 15.01.2020 05:00","11.10"
"15.01.2020 05:00 - 15.01.2020 06:00","19.29"
"15.01.2020 06:00 - 15.01.2020 07:00","28.56"
"15.01.2020 07:00 - 15.01.2020 08:00","38.26"
"15.01.2020 08:00 - 15.01.2020 09:00","36.73"
"15.01.2020 09:00 - 15.01.2020 10:00","33.91"
"15.01.2020 10:00 - 15.01.2020 11:00","30.00"
"15.01.2020 11:00 - 15.01.2020 12:00","31.23"
"15.01.2020 12:00 - 15.01.2020 13:00","30.64"
"15.01.2020 13:00 - 15.01.2020 14:00","30.00"
"15.01.2020 14:00 - 15.01.2020 15:00","35.00"
"15.01.2020 15:00 - 15.01.2020 16:00","36.17"
"15.01.2020 16:00 - 15.01.2020 17:00","39.23"
"15.01.2020 17:00 - 15.01.2020 18:00","48.74"
"15.01.2020 18:00 - 15.01.2020 19:00","44.90"
"15.01.2020 19:00 - 15.01.2020 20:00","44.21"
"15.01.2020 20:00 - 15.01.2020 21:00","34.01"
"15.01.2020 21:00 - 15.01.2020 22:00","29.90"
"15.01.2020 22:00 - 15.01.2020 23:00","33.90"
"15.01.2020 23:00 - 16.01.2020 00:00","30.73"
"16.01.2020 00:00 - 16.01.2020 01:00","28.81"
"16.01.2020 01:00 - 16.01.2020 02:00","29.54"
"16.01.2020 02:00 - 16.01.2020 03:00","29.18"
"16.01.2020 03:00 - 16.01.2020 04:00","28.34"
"16.01.2020 04:00 - 16.01.2020 05:00","28.30"
"16.01.2020 05:00 - 16.01.2020 06:00","28.86"
"16.01.2020 06:00 - 16.01.2020 07:00","38.47"
"16.01.2020 07:00 - 16.01.2020 08:00","44.97"
"16.01.2020 08:00 - 16.01.2020 09:00","52.40"
"16.01.2020 09:00 - 16.01.2020 10:00","47.00"
"16.01.2020 10:00 - 16.01.2020 11:00","43.51"
"16.01.2020 11:00 - 16.01.2020 12:00","42.10"
"16.01.2020 12:00 - 16.01.2020 13:00","40.10"
"16.01.2020 13:00 - 16.01.2020 14:00","40.66"
"16.01.2020 14:00 - 16.01.2020 15:00","41.41"
"16.01.2020 15:00 - 16.01.2020 16:00","43.85"
"16.01.2020 16:00 - 16.01.2020 17:00","44.96"
"16.01.2020 17:00 - 16.01.2020 18:00","43.08"
"16.01.2020 18:00 - 16.01.2020 19:00","41.99"
"16.01.2020 19:00 - 16.01.2020 20:00","38.86"
"16.01.2020 20:00 - 16.01.2020 21:00","32.22"
"16.01.2020 21:00 - 16.01.2020 22:00","30.80"
"16.01.2020 22:00 - 16.01.2020 23:00","30.00"
"16.01.2020 23:00 - 17.01.2020 00:00","29.32"
"17.01.2020 00:00 - 17.01.2020 01:00","27.36"
"17.01.2020 01:00 - 17.01.2020 02:00","27.16"
"17.01.2020 02:00 - 17.01.2020 03:00","26.58"
"17.01.2020 03:00 - 17.01.2020 04:00","25.71"
"17.01.2020 04:00 - 17.01.2020 05:00","26.01"
"17.01.2020 05:00 - 17.01.2020 06:00","27.97"
"17.01.2020 06:00 - 17.01.2020 07:00","30.06"
"17.01.2020 07:00 - 17.01.2020 08:00","40.19"
"17.01.2020 08:00 - 17.01.2020 09:00","43.80"
"17.01.2020 09:00 - 17.01.2020 10:00","43.19"
"17.01.2020 10:00 - 17.01.2020 11:00","44.32"
"17.01.2020 11:00 - 17.01.2020 12:00","43.82"
"17.01.2020 12:00 - 17.01.2020 13:00","41.37"
"17.01.2020 13:00 - 17.01.2020 14:00","39.98"
"17.01.2020 14:00 - 17.01.2020 15:00","39.02"
"17.01.2020 15:00 - 17.01.2020 16:00","41.49"
"17.01.2020 16:00 - 17.01.2020 17:00","42.24"
"17.01.2020 17:00 - 17.01.2020 18:00","45.63"
"17.01.2020 18:00 - 17.01.2020 19:00","46.00"
"17.01.2020 19:00 - 17.01.2020 20:00","44.66"
"17.01.2020 20:00 - 17.01.2020 21:00","40.99"
"17.01.2020 21:00 - 17.01.2020 22:00","33.90"
"17.01.2020 22:00 - 17.01.2020 23:00","33.38"
"17.01.2020 23:00 - 18.01.2020 00:00","33.00"
