sigma,overcommission,consumption,cost
161,3990072537829,190.628235323492,7050.53962159422
162,4001089538516,190.619151157924,7051.32566865901
163,3999700717458,190.621282642807,7051.66342770775
164,3975264593942,190.642029878096,7051.13903684992
165,3977061837146,190.641375334219,7051.85036022835
166,4004640273420,190.617835012268,7052.45229509883
167,3987132920071,190.634339156049,7052.84034175091
168,3963598157540,190.656973985173,7053.47166265531
169,3970946770909,190.651113552828,7053.08953153503
170,3977789741737,190.644607154585,7052.8222958057
171,3959394082708,190.664382119328,7053.90468956006
172,3993755298691,190.630535762019,7053.38108646035
173,3995911260779,190.626189747193,7053.27592117785
174,4000464686940,190.627371639343,7053.72729841195
175,3974868468075,190.658181336118,7054.21751126849
176,3952686398866,190.67559090023,7055.54060180391
177,3970811408948,190.658541104764,7053.92206343057
178,3999418406717,190.629208027977,7054.25486355354
179,4004915503311,190.623787720277,7053.11467906672
180,3979322105356,190.651820050319,7054.60059964893
181,3997379885953,190.632886206524,7055.09701047899
182,3961565427554,190.662939735656,7055.70108323234
183,3980508526520,190.645980861393,7055.25360137996
184,3955570919433,190.673519473014,7055.79968118996
185,3999058833111,190.63016976123,7054.91510034111
186,3981750691952,190.648525938182,7055.12730535365
187,3968027516708,190.662278166437,7055.32672562659
188,4002683915375,190.630265699636,7055.35503522638
189,3972053136839,190.654195166675,7055.84283849503
190,3989400991023,190.645814823845,7055.69412473126
191,3974627090593,190.656856842204,7055.91151045928
192,3975886001482,190.656250416675,7055.66657681534
193,3973489883305,190.661656767765,7057.53980989965
194,3969001149029,190.664031179053,7057.14071716009
195,3970323709263,190.66810473258,7057.02723285446
196,4005221899436,190.631310877162,7056.41455539292
197,3983186918715,190.653629185602,7057.8229747389
198,4001785240038,190.638147527318,7056.29591043979
199,3968398714331,190.670123173157,7057.91959197507
200,3969120797005,190.66779242792,7057.29033284307
201,3976390557901,190.66053170771,7057.81015681557
202,3984009827526,190.654877394595,7056.75281679331
203,3978634283651,190.659216900985,7058.71486329097
204,3972486426490,190.664093072347,7058.84408658292
205,3987922038190,190.652461477968,7057.27901011608
206,3962062893996,190.676960884629,7058.73183539312
207,3978756034201,190.659433728366,7058.18358626873
208,3962777801768,190.677859744815,7058.72765685496
209,3951394830517,190.686542694476,7059.71097858869
210,3968828852973,190.666807212592,7060.17964008208
211,4001555428296,190.634629531982,7058.88258124188
212,3985414717691,190.657233279331,7059.07539539059
213,3994013972677,190.64842008968,7058.73156937016
214,3973791426500,190.665622685553,7058.88924253657
215,3952291421219,190.693027571595,7060.35731741876
216,3959452798429,190.678320673558,7059.92371425682
217,3970495514873,190.679779990073,7060.30881463639
218,3968558637116,190.67228202285,7060.04815257198
219,3982174188186,190.661661048294,7060.59926802981
220,3967791845637,190.67430921399,7061.52942693919
221,3960740554239,190.679418586013,7062.00301161951
222,3954930050984,190.686992040705,7060.96739726846
223,3969531406759,190.676029049413,7061.29279133399
224,3966362021750,190.677937062016,7062.09038911589
225,3969703218669,190.676698772718,7061.23954796966
226,3966217499727,190.681203064951,7061.87987066081
227,3986582947204,190.661847011759,7061.23478352653
228,3975884269835,190.674435385684,7061.30020620821
229,3967001075066,190.681115297955,7061.70206929042
230,3951423268695,190.697702673537,7063.05023431094
231,3973526991557,190.67459541765,7062.02452601433
232,3967718973719,190.672282153046,7062.19056430126
233,3946280474302,190.698102815159,7062.51657353568
234,3967878906391,190.680053615089,7061.71152248565
235,3977365783092,190.668092766466,7062.33176113092
236,3960745999758,190.685523182284,7063.43847525189
237,3975027748458,190.674857091084,7063.53581425864
238,3956120997132,190.690872952614,7063.33590197683
239,3964123893767,190.682238103263,7062.83270105913
240,3980223713182,190.672489012411,7062.4675209285
241,3951724503777,190.699904484409,7063.46256503776
242,3965855973827,190.685286455454,7063.80117354055
243,3950766221446,190.698079630394,7063.34979187519
244,3970843330585,190.678796510155,7063.89359073934
245,3948403781220,190.700014417703,7062.97441053647
246,3949757747973,190.705235993358,7064.85233184456
247,3961665161167,190.692697075773,7064.27032527211
248,3973075841200,190.680313546013,7064.57915776939
249,3975752366034,190.675288650137,7064.28989708826
250,3979283440189,190.672240024606,7062.61988717366
251,3938668665372,190.712296051207,7064.17046704887
252,3953343525911,190.699806036597,7063.85573448897
253,3972896960264,190.681502453184,7063.15891829106
254,3959288811615,190.694899428509,7064.71269377789
255,3962964768320,190.690455410663,7065.84878234598
256,3951305304584,190.702483197765,7065.75876404428
257,3944203299956,190.711863699963,7066.48402750525
258,3972453433758,190.683224867539,7064.13081196281
259,3937619683627,190.712952328633,7065.46364529949
260,3950257830282,190.706626648633,7065.43945896323
